"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         134,      -5.716122149,      -3.494648393,      -3.818263205,      -1.479589934,      -2.666854662,        1.26511475
          0,           0,         135,      -5.715434564,      -3.495945319,      -3.817298088,      -1.478413047,      -2.672292653,       1.259441978
          0,           0,         136,      -5.714764751,       -3.49722628,      -3.816348954,      -1.477172331,      -2.677694189,       1.253809955
          0,           0,         137,      -5.714111244,      -3.498493635,      -3.815414944,      -1.475949893,      -2.683059754,       1.248218052
          0,           0,         138,      -5.713474296,      -3.499748177,      -3.814496759,      -1.474815157,      -2.688389822,        1.24266537
          0,           0,         139,      -5.712854026,      -3.500990981,      -3.813595568,      -1.473749133,      -2.693684855,       1.237150157
          0,           0,         140,      -5.712251023,      -3.502223275,      -3.812711805,      -1.472730392,      -2.698945308,       1.231673739
          0,           0,         141,      -5.711666272,      -3.503446134,      -3.811845448,      -1.471700188,      -2.704171628,       1.226234318
          0,           0,         142,       -5.71109973,      -3.504659152,      -3.810995747,       -1.47063067,       -2.70936425,       1.220831791
          0,           0,         143,      -5.710550275,      -3.505864228,      -3.810163605,      -1.469591837,      -2.714523605,       1.215466479
          0,           0,         144,      -5.710018407,      -3.507062372,      -3.809350358,      -1.468676545,      -2.719650111,       1.210138062
          0,           0,         145,       -5.70950493,      -3.508254434,      -3.808557532,       -1.46779909,      -2.724744183,       1.204845788
          0,           0,         146,      -5.709010025,      -3.509441031,      -3.807785434,      -1.466951925,      -2.729806223,       1.199589129
          0,           0,         147,       -5.70853351,      -3.510622134,      -3.807034644,      -1.466125957,       -2.73483663,       1.194367238
          0,           0,         148,      -5.708075317,      -3.511799614,      -3.806305722,      -1.465286756,      -2.739835793,       1.189178664
          0,           0,         149,      -5.707636074,       -3.51297432,       -3.80559877,      -1.464517651,      -2.744804094,       1.184024469
          0,           0,         150,      -5.707215707,      -3.514146996,      -3.804915556,      -1.463821161,      -2.749741908,       1.178904388
          0,           0,         151,      -5.706814604,      -3.515316827,      -3.804257567,      -1.463119876,      -2.754649604,       1.173818402
          0,           0,         152,      -5.706432065,      -3.516486123,      -3.803624657,      -1.462444602,      -2.759527543,       1.168765637
          0,           0,         153,      -5.706068663,      -3.517656609,      -3.803017606,      -1.461911741,      -2.764376081,       1.163744538
          0,           0,         154,      -5.705726314,      -3.518831805,       -3.80243958,      -1.461398148,      -2.769195566,       1.158756068
          0,           0,         155,      -5.705406702,      -3.520010695,      -3.801890344,      -1.460806471,       -2.77398634,       1.153800621
          0,           0,         156,      -5.705107216,       -3.52119364,      -3.801366057,       -1.46032131,      -2.778748741,       1.148877604
          0,           0,         157,      -5.704824116,      -3.522373076,      -3.800870736,      -1.459855634,      -2.783483097,       1.143985775
          0,           0,         158,      -5.704555571,      -3.523524373,      -3.800405292,      -1.459408794,      -2.788189735,       1.139125396
          0,           0,         159,      -5.704298899,      -3.524653644,      -3.799969567,      -1.458874855,      -2.792868972,       1.134296927
          0,           0,         160,        -5.7040533,      -3.525779427,      -3.799562322,      -1.458437172,      -2.797521122,       1.129498998
          0,           0,         161,       -5.70381881,      -3.526914613,      -3.799185018,      -1.458064693,      -2.802146493,       1.124730484
          0,           0,         162,      -5.703596302,      -3.528067332,      -3.798839199,      -1.457883727,      -2.806745389,       1.119992704
          0,           0,         163,      -5.703387392,      -3.529235078,      -3.798527715,      -1.457801048,      -2.811318107,       1.115286073
          0,           0,         164,      -5.703193735,       -3.53041593,      -3.798250523,      -1.457721629,       -2.81586494,       1.110609048
          0,           0,         165,      -5.703017657,      -3.531608464,      -3.798004619,      -1.457649078,      -2.820386175,       1.105959071
          0,           0,         166,      -5.702861442,      -3.532812087,      -3.797788202,      -1.457586158,      -2.824882095,       1.101333711
          0,           0,         167,      -5.702726171,      -3.534025502,      -3.797600534,      -1.457515588,      -2.829352978,       1.096733932
          0,           0,         168,      -5.702612663,      -3.535248024,      -3.797441611,      -1.457476217,      -2.833799098,       1.092159922
          0,           0,         169,      -5.702521092,      -3.536479344,      -3.797311511,      -1.457460847,      -2.838220722,       1.087613706
          0,           0,         170,       -5.70245091,       -3.53771947,      -3.797209196,      -1.457466251,      -2.842618117,       1.083096134
          0,           0,         171,       -5.70240188,       -3.53896846,      -3.797133401,      -1.457491582,      -2.846991541,        1.07860673
          0,           0,         172,      -5.702374037,      -3.540226499,      -3.797082937,      -1.457538495,      -2.851341252,       1.074144572
          0,           0,         173,      -5.702367476,      -3.541493709,      -3.797056755,      -1.457598765,        -2.8556675,       1.069708763
          0,           0,         174,      -5.702381915,       -3.54277022,       -3.79705359,      -1.457674592,      -2.859970534,       1.065298462
          0,           0,         175,       -5.70241696,      -3.544056171,      -3.797072218,      -1.457770386,      -2.864250597,       1.060913021
          0,           0,         176,      -5.702472414,      -3.545352317,      -3.797111465,      -1.457877567,      -2.868507929,       1.056552076
          0,           0,         177,      -5.702547695,      -3.546658226,      -3.797169783,      -1.457981014,      -2.872742767,       1.052215853
          0,           0,         178,      -5.702642761,      -3.547973893,      -3.797246014,      -1.458113772,      -2.876955343,       1.047904103
          0,           0,         179,      -5.702757406,      -3.549299626,      -3.797339209,      -1.458277513,      -2.881145886,       1.043615787
          0,           0,         180,      -5.702891546,      -3.550635489,      -3.797448303,      -1.458453898,      -2.885314621,       1.039350888
          0,           0,         181,      -5.703044843,      -3.551981748,      -3.797571776,      -1.458641533,       -2.88946177,       1.035108555
          0,           0,         182,      -5.703217068,      -3.553338644,       -3.79770834,      -1.458841903,      -2.893587551,       1.030888785
          0,           0,         183,      -5.703408122,      -3.554706314,      -3.797856636,      -1.459052921,      -2.897692179,       1.026691949
          0,           0,         184,      -5.703617841,      -3.556085129,      -3.798015215,       -1.45927556,      -2.901775867,       1.022517968
          0,           0,         185,      -5.703846124,       -3.55747559,      -3.798182922,      -1.459493775,      -2.905838822,       1.018367349
          0,           0,         186,      -5.704092411,      -3.558877068,      -3.798358347,      -1.459716766,       -2.90988125,       1.014239086
          0,           0,         187,      -5.704356998,       -3.56028917,      -3.798540838,      -1.459963119,      -2.913903348,       1.010132782
          0,           0,         188,      -5.704639659,       -3.56171233,       -3.79872975,      -1.460226227,      -2.917905319,       1.006048159
          0,           0,         189,      -5.704940162,      -3.563146805,      -3.798924246,      -1.460498818,      -2.921887358,       1.001984877
          0,           0,         190,      -5.705258346,      -3.564592942,      -3.799123445,      -1.460778487,       -2.92584966,       0.997942729
          0,           0,         191,      -5.705594041,      -3.566051795,      -3.799326528,      -1.461087093,      -2.929792414,      0.9939215073
          0,           0,         192,      -5.705948317,      -3.567523419,      -3.799533331,      -1.461394787,      -2.933715808,      0.9899210524
          0,           0,         193,      -5.706320615,      -3.569006977,      -3.799742721,      -1.461684567,      -2.937620029,      0.9859412668
          0,           0,         194,      -5.706709597,      -3.570502073,      -3.799953812,      -1.461994734,      -2.941505257,       0.981981171
          0,           0,         195,      -5.707114944,      -3.572008629,      -3.800166894,      -1.462324544,      -2.945371674,      0.9780416028
          0,           0,         196,      -5.707536799,      -3.573526681,      -3.800382041,      -1.462661277,      -2.949219455,      0.9741216438
          0,           0,         197,       -5.70797526,      -3.575056518,      -3.800599048,      -1.463010511,      -2.953048777,      0.9702211223
          0,           0,         198,       -5.70843028,      -3.576598293,      -3.800817822,      -1.463371017,       -2.95685981,      0.9663402306
          0,           0,         199,      -5.708901573,      -3.578152155,      -3.801038115,      -1.463726721,      -2.960652724,      0.9624786609
          0,           0,         200,      -5.709388986,      -3.579717555,      -3.801259813,      -1.464098897,      -2.964427687,      0.9586361176
          0,           0,         201,      -5.709892941,      -3.581294373,      -3.801483537,       -1.46449422,      -2.968184865,       0.954812365
          0,           0,         202,      -5.710413256,      -3.582882674,       -3.80170977,      -1.464907487,      -2.971924419,      0.9510074418
          0,           0,         203,      -5.710949811,      -3.584482362,      -3.801938725,      -1.465334636,      -2.975646511,      0.9472214114
          0,           0,         204,      -5.711502607,      -3.586094053,      -3.802170548,      -1.465768095,      -2.979351299,      0.9434539889
          0,           0,         205,      -5.712071178,      -3.587716978,      -3.802405219,       -1.46620554,      -2.983038938,      0.9397052659
          0,           0,         206,      -5.712655884,      -3.589350781,       -3.80264332,       -1.46666951,      -2.986709583,      0.9359749751
          0,           0,         207,      -5.713256792,      -3.590995462,      -3.802885618,      -1.467155565,      -2.990363385,      0.9322619803
          0,           0,         208,      -5.713873791,      -3.592651238,       -3.80313255,      -1.467660355,      -2.994000495,      0.9285670996
          0,           0,         209,      -5.714506712,       -3.59431834,      -3.803384358,      -1.468166696,      -2.997621059,      0.9248901421
          0,           0,         210,      -5.715155089,      -3.595995916,      -3.803641206,      -1.468683471,      -3.001225224,      0.9212308027
          0,           0,         211,      -5.715819072,      -3.597683943,       -3.80390379,      -1.469231192,      -3.004813134,      0.9175890773
          0,           0,         212,      -5.716498569,       -3.59938263,      -3.804172762,      -1.469806718,      -3.008384931,      0.9139645476
          0,           0,         213,      -5.717193326,      -3.601091924,      -3.804448397,      -1.470391348,      -3.011940754,      0.9103564912
          0,           0,         214,      -5.717903271,       -3.60281099,      -3.804730882,      -1.470997277,      -3.015480742,      0.9067655855
